age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
37.0, Private,289848.94, Doctorate,9.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,337927.3, Doctorate,5.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, ?,338010.1, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Japan, >50K
31.0, ?,376977.53, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, Private,325644.88, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
31.0, ?,282297.3, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,341872.62, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,48.0, Mexico, >50K
33.0, ?,366620.8, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, Private,306858.47, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, Private,273583.6, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,35.0, Mexico, >50K
32.0, ?,379635.66, Doctorate,7.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,327037.66, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,293483.9, Doctorate,6.4680448, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,361574.7, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
31.0, Private,368343.16, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, Private,279209.8, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,314291.1, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,318230.28, Doctorate,4.5232835, Divorced, Farming-fishing, Unmarried, Asian-Pac-Islander, Male,0.0,0.0,40.0, Mexico, >50K
36.0, ?,343202.06, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,286535.0, Doctorate,6.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, Private,344336.16, 12th,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, Private,338331.28, Doctorate,11.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,335234.3, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, Private,365837.16, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
30.0, ?,310186.6, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,301930.72, Doctorate,5.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, ?,336678.62, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
30.0, ?,290864.62, 12th,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,25.0, Mexico, >50K
37.0, Private,277682.06, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,48.0, Mexico, >50K
33.0, Private,292177.25, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,299118.6, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, Private,322292.28, 12th,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, ?,334751.44, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.83213, ?,402281.03, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,398566.94, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
42.19612, ?,306475.97, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
30.0, Private,315955.6, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, Private,324910.97, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,35.0, Mexico, >50K
31.0, Private,362344.03, Doctorate,7.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, ?,319154.56, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, Private,379548.16, Doctorate,5.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,390626.0, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,314162.25, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
30.036947, ?,348616.44, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,343051.28, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,385096.97, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, Private,272807.84, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, Private,256564.92, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,43.0, Mexico, >50K
33.0, Private,245027.92, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
43.0, ?,332123.2, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,50.0, Mexico, >50K
31.0, ?,326033.44, Doctorate,10.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
31.0, Private,327479.8, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Guatemala, >50K
35.0, ?,289308.28, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Asian-Pac-Islander, Male,0.0,0.0,40.0, Mexico, <=50K
31.0, ?,303604.75, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,38.0, Mexico, >50K
37.0, ?,297949.0, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,320821.5, 12th,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,45.0, Mexico, >50K
35.0, ?,280052.3, Doctorate,9.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
30.0, ?,363190.53, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, ?,348889.72, Doctorate,3.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
31.0, ?,333230.56, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,397978.62, Doctorate,5.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,346406.12, Doctorate,6.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,377727.5, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.002937, Private,341527.6, Doctorate,6.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,360984.66, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Asian-Pac-Islander, Male,0.0,0.0,35.0, Mexico, >50K
42.0, Private,271478.38, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,35.0, Mexico, >50K
36.0, ?,338759.34, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, Private,275504.9, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,321255.34, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, ?,318348.1, Doctorate,10.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,292930.1, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,340283.3, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
31.0, ?,353705.5, 12th,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, ?,314641.66, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, ?,291731.97, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,352675.3, Doctorate,1.5649655, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,300985.6, Doctorate,8.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,332806.6, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
30.0, ?,304165.78, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,247194.14, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
39.0, ?,322053.53, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
31.0, ?,366801.3, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, ?,315114.78, Doctorate,10.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,320939.78, Doctorate,5.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, ?,340220.78, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,38.0, Mexico, >50K
35.0, Private,296768.88, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,400332.03, Doctorate,3.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
31.0, ?,358120.72, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,38.0, Mexico, >50K
33.0, ?,338822.84, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, Private,395289.28, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, <=50K
36.0, ?,327602.16, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, Private,366396.2, 12th,3.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, ?,314309.88, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
30.0, ?,324131.12, Doctorate,5.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, ?,298567.4, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,314963.5, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,317442.5, 12th,7.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,328832.0, 12th,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
29.0, ?,354109.25, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, ?,339827.62, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, Private,300487.78, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,331701.66, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,314488.66, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, Private,258320.92, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,337647.0, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, <=50K
34.0, ?,339298.3, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,36.0, Mexico, >50K
29.0, ?,328116.1, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.75705, ?,341977.88, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, ?,302717.56, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, <=50K
34.0, ?,359331.4, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, ?,318883.03, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, Private,343014.66, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,277258.88, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,35.0, Mexico, >50K
30.0, ?,339593.16, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
32.0, Private,338347.53, Doctorate,8.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
28.0, ?,334897.97, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, ?,363464.22, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
39.0, ?,369712.7, Doctorate,9.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
38.0, Never-worked,283430.38, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
34.0, ?,339528.66, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,329015.7, 12th,5.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,30.0, Mexico, >50K
33.0, ?,341949.72, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,38.0, Mexico, >50K
31.0, ?,350865.12, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, Private,338630.03, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,350290.4, Doctorate,9.0, Divorced, Handlers-cleaners, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,330227.6, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Japan, >50K
32.0, ?,347276.2, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,333664.94, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, ?,295937.44, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,44.00767, Mexico, >50K
35.0, ?,333998.56, 12th,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,353435.25, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,335049.72, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,343132.34, Doctorate,4.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,35.0, Mexico, >50K
39.0, Private,304306.97, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,347337.5, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, Private,350321.53, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,257531.14, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Guatemala, >50K
35.0, Private,322564.06, Doctorate,5.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
36.0, ?,339715.2, 12th,6.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,28.0, Mexico, >50K
31.0, ?,388151.72, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,21.496042, Mexico, >50K
32.0, ?,345339.0, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,329182.9, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
29.0, ?,303459.03, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
29.0, ?,361556.84, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,291777.7, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, ?,266778.16, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, <=50K
33.0, ?,349419.25, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,30.0, Mexico, >50K
40.0, Private,306674.97, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
37.0, ?,326295.1, Doctorate,10.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, Private,346456.88, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
29.0, ?,321397.84, Doctorate,10.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,336414.7, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.0, Private,330862.97, Doctorate,10.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,30.0, Mexico, >50K
36.0, ?,336386.84, Doctorate,9.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.160877, ?,304767.3, Doctorate,7.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
33.0, ?,314776.03, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,48.0, Mexico, >50K
37.0, Private,351463.94, Doctorate,6.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
35.003635, ?,353923.84, Doctorate,9.0, Divorced, Farming-fishing, Unmarried, Amer-Indian-Eskimo, Male,0.0,0.0,40.0, Mexico, >50K
